               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034227,            0.051807,            0.009582,             0.46618,             0.50492,             0.39533,             0.26827,            0.034795,            0.059194,            0.027533,            0.002872,            0.002872,            0.002872
                  38,            0.034201,            0.050959,           0.0093393,             0.45441,             0.48826,             0.38939,             0.26407,            0.034896,            0.059044,            0.027797,            0.002674,            0.002674,            0.002674
                  39,            0.034678,            0.052588,           0.0092494,             0.45496,             0.49418,             0.38853,             0.26535,            0.034925,            0.061475,            0.029259,            0.002476,            0.002476,            0.002476
                  40,             0.03379,            0.050481,           0.0090413,              0.4658,             0.48715,             0.38987,             0.26675,            0.034551,             0.05843,            0.028968,            0.002278,            0.002278,            0.002278
                  41,             0.03385,            0.051122,           0.0088501,              0.4664,             0.50026,             0.39147,             0.26837,            0.034637,            0.060064,            0.028895,             0.00208,             0.00208,             0.00208
                  42,            0.033688,            0.051129,           0.0086575,             0.48999,             0.49405,             0.39733,             0.27305,             0.03467,            0.060939,            0.029078,            0.001882,            0.001882,            0.001882
                  43,            0.033426,            0.050465,            0.008491,             0.48026,             0.50528,             0.39752,             0.27132,             0.03462,            0.059758,            0.028311,            0.001684,            0.001684,            0.001684
                  44,            0.033363,            0.050634,           0.0082921,             0.48873,             0.50948,             0.39673,             0.27226,            0.034681,            0.060949,            0.029393,            0.001486,            0.001486,            0.001486
                  45,            0.032935,            0.050405,           0.0080917,              0.4963,              0.5135,              0.3987,             0.27463,            0.034536,            0.061134,            0.030152,            0.001288,            0.001288,            0.001288
                  46,             0.03338,            0.051565,           0.0082055,             0.48473,             0.50518,             0.39752,              0.2735,            0.034759,            0.062082,            0.030146,             0.00109,             0.00109,             0.00109
                  47,            0.032952,            0.050848,           0.0081999,             0.48649,             0.51319,               0.396,             0.27257,            0.034454,            0.060534,            0.030228,            0.000892,            0.000892,            0.000892
                  48,            0.032854,            0.050409,           0.0080591,             0.46188,             0.52139,             0.39605,             0.27409,             0.03452,            0.061156,            0.030393,            0.000694,            0.000694,            0.000694
                  49,            0.032595,            0.049655,           0.0078869,              0.4933,              0.4996,             0.39812,             0.27522,            0.034418,            0.060352,            0.030065,            0.000496,            0.000496,            0.000496
